slug,title,station,grouped,multi_group,source_surfaces,mode,raw_group_count,raw_sections,raw_kinds,detected_by_current,current_group_count,current_group_kinds,missed_by_current,program_url,sample_labels,fetch_error
gentetrentina,Gente trentina,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gentetrentina,,
georgessimenon-leindaginidelcommissariomaigret,Georges Simenon - Le indagini del commissario Maigret,radiotechete,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/georgessimenon-leindaginidelcommissariomaigret,,
geostorie-ilterritorioracconta,Geostorie - Il territorio racconta,,True,True,filters|tab_menu,year,2,puntate,year,True,2,year,False,https://www.raiplaysound.it/programmi/geostorie-ilterritorioracconta,2025 | 2024,
gerri,Gerri,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gerri,,
gettonidifilosofia,Gettoni di Filosofia,radio3,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gettonidifilosofia,,
gettonidiletteratura,Gettoni di Letteratura,radio3,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gettonidiletteratura,,
gettonidipoesia,Gettoni di Poesia,radio3,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gettonidipoesia,,
gettonidiscienza,Gettoni di Scienza,radio3,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gettonidiscienza,,
ghiacciosottile,Ghiaccio sottile,,True,True,tab_menu,group,2,,group,True,2,group,False,https://www.raiplaysound.it/programmi/ghiacciosottile,Episodi | Extra,
giallidalpassato,Gialli dal passato,,True,True,filters|tab_menu,year,3,puntate,year,True,3,year,False,https://www.raiplaysound.it/programmi/giallidalpassato,2025 | 2024 | 2023,
giancarlosiani-ilcoraggiodiscrivere,Giancarlo Siani - Il coraggio di scrivere,,True,True,tab_menu,group,2,,group,True,2,group,False,https://www.raiplaysound.it/programmi/giancarlosiani-ilcoraggiodiscrivere,Episodi | Extra,
gianniagnelliinartelavvocato,"Gianni Agnelli, in arte l'Avvocato",,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gianniagnelliinartelavvocato,,
giappone50-uominiemacchineinarmonia,Giappone 5.0 - Uomini e macchine in armonia,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giappone50-uominiemacchineinarmonia,,
giganti,Giganti,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giganti,,
gigantis,Gigantis,,False,False,,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gigantis,,
gigiproiettiagranvarietaavogadroilladro,Gigi Proietti a Gran Varietà: Avogadro il ladro,radio2,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gigiproiettiagranvarietaavogadroilladro,,
gigirivamancinomeraviglioso,"Gigi Riva, mancino meraviglioso",,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gigirivamancinomeraviglioso,,
gigirivaraccontagigiriva,Gigi Riva racconta Gigi Riva,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gigirivaraccontagigiriva,,
gigiunocomete-lemozionecontinua,Gigi Uno Come Te - L'Emozione Continua,radio2,False,False,,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gigiunocomete-lemozionecontinua,,
giorgiana12maggio1977,Giorgiana. 12 maggio 1977,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giorgiana12maggio1977,,
giornalistiperungiorno,Giornalisti per un giorno,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giornalistiperungiorno,,
giornatealmuseo,Giornate al museo,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giornatealmuseo,,
giornidigloria2026,Giorni di gloria 2026,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giornidigloria2026,,
giovaniedroga,Giovani e droga,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giovaniedroga,,
giovanieinfluencervoltidamilionidifollower,Giovani e Influencer. Volti da milioni di follower,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giovanieinfluencervoltidamilionidifollower,,
giovanniborromeoluomocheingannoinazisti,"Giovanni Borromeo, l'uomo che ingannò i nazisti",,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giovanniborromeoluomocheingannoinazisti,,
giovannifalcone-ceraunavoltaapalermo,Giovanni Falcone - C'era una volta a Palermo,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giovannifalcone-ceraunavoltaapalermo,,
giovannifalconeilpesodelleparole,"Giovanni Falcone, il peso delle parole",,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giovannifalconeilpesodelleparole,,
giovannisartoriloscienziatodellapolitica,"Giovanni Sartori, lo scienziato della politica",,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/giovannisartoriloscienziatodellapolitica,,
girobanda,Girobanda,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/girobanda,,
girutundu,Girutundu,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/girutundu,,
